AppID	Works	Title
227200	True	Waking Mars
227300	True	Euro Truck Simulator 2
227580	True	10,000,000
227860	True	Castle Story
228440	True	Cubemen 2
228960	True	Skulls of the Shogun
229520	True	Dungeon Hearts
230190	True	War for the Overworld
230310	True	Akaneiro: Demon Hunters
230760	True	DIVO
231040	True	Beatbuddy: Tale of the Guardians
231160	True	The Swapper
231200	True	Kentucky Route Zero
231310	True	MirrorMoon EP
231330	True	Deadfall Adventures
231670	True	Football Manager 2014
231720	True	Bad Hotel
231740	True	Knights of Pen and Paper +1 Edition
231910	True	Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded
232050	{'Comment': 'The game is not a Linux port but a WINE self contained package.'}	Eador: Masters of the Broken World
232430	True	Gone Home
232770	Error
232790	True	Broken Age
233150	True	LUFTRAUSERS
233230	True	Kairo
233250	True	Planetary Annihilation
233370	True	The Raven - Legacy of a Master Thief
233450	True	Prison Architect
233720	True	Surgeon Simulator 2013
233740	True	Organ Trail: Director's Cut
234000	True	Superfrog HD
234060	True	Timelines: Assault on America
234190	True	Receiver
234390	True	Teleglitch: Die More Edition
234650	True	Shadowrun Returns
234900	True	Anodyne
234940	True	The 39 Steps
235820	True	Element4l
235980	True	Tetrobot and Co.
236090	True	Dust: An Elysian Tail
236370	True	Interstellar Marines
236730	True	Anomaly 2
236850	True	Europa Universalis IV
237430	True	Expeditions: Conquistador
237470	True	Battle Worlds: Kronos
237550	True	Realms of Arkania: Blade of Destiny
237870	True	Planet Explorers
238210	Error
238280	True	Legend of Dungeon
238460	True	BattleBlock Theater®
238910	True	Bionic Dues
239030	True	Papers, Please
239070	True	Hammerwatch
239200	True	Amnesia: A Machine for Pigs
239700	True	Hate Plus
239820	True	Game Dev Tycoon
240760	True	Wasteland 2 Digital Deluxe Edition
241320	Error
241600	True	Rogue Legacy
241640	True	Haunted Memories
242110	True	Joe Danger 2: The Movie
242530	True	The Chaos Engine
242570	True	Space Hulk
242680	True	Nuclear Throne
242820	True	140
242860	True	Verdun
